sample_name,host_species,treatment,timepoint,genotype,fragment,treat_time
KA1-1,franksi,control,postheat,KA,KA1,contr_pos
KA3-1,franksi,control,preheat,KA,KA3,contr_pre
KA4-2,franksi,thermvar,preheat,KA,KA4,therm_pre
KA4-2R,franksi,thermvar,preheat,KA,KA4,therm_pre
KA5-2,franksi,thermvar,postheat,KA,KA5,therm_pos
KB13-2,franksi,thermvar,preheat,KB,KB13,therm_pre
KB28-1,franksi,control,preheat,KB,KB28,contr_pre
KB39-1,franksi,control,postheat,KB,KB39,contr_pos
KB39-2,franksi,thermvar,postheat,KB,KB39,therm_pos
KE13-1,franksi,control,preheat,KE,KE13,contr_pre
KE14-1,franksi,control,postheat,KE,KE14,contr_pos
KE31-2,franksi,thermvar,postheat,KE,KE31,therm_pos
KE9-2,franksi,thermvar,preheat,KE,KE9,therm_pre
KF19-1,franksi,control,postheat,KF,KF19,contr_pos
KF19-2,franksi,thermvar,postheat,KF,KF19,therm_pos
KF23-2,franksi,thermvar,preheat,KF,KF23,therm_pre
KF9-1,franksi,control,preheat,KF,KF9,contr_pre
KG12-1,franksi,control,preheat,KG,KG12,contr_pre
KG12-2,franksi,thermvar,preheat,KG,KG12,therm_pre
KG31-1,franksi,control,postheat,KG,KG31,contr_pos
KG31-2,franksi,thermvar,postheat,KG,KG31,therm_pos
VB1-2,faveolata,thermvar,preheat,VB,VB1,therm_pre
VB11-1,faveolata,control,postheat,VB,VB11,contr_pos
VB11-2,faveolata,thermvar,postheat,VB,VB11,therm_pos
VB5-1,faveolata,control,preheat,VB,VB5,contr_pre
VD10-1,faveolata,control,preheat,VD,VD10,contr_pre
VD15-2,faveolata,thermvar,preheat,VD,VD15,therm_pre
VD17-1,faveolata,control,postheat,VD,VD17,contr_pos
VD17-2,faveolata,thermvar,postheat,VD,VD17,therm_pos
VE14-2,faveolata,thermvar,preheat,VE,VE14,therm_pre
VE18-1,faveolata,control,postheat,VE,VE18,contr_pos
VE18-2,faveolata,thermvar,postheat,VE,VE18,therm_pos
VE30-1,faveolata,control,preheat,VE,VE30,contr_pre
VF23-2,faveolata,thermvar,preheat,VF,VF23,therm_pre
VF31-1,faveolata,control,preheat,VF,VF31,contr_pre
VF40-1,faveolata,control,postheat,VF,VF40,contr_pos
VF40-2,faveolata,thermvar,postheat,VF,VF40,therm_pos
VG1-1,faveolata,control,postheat,VG,VG1,contr_pos
VG1-2,faveolata,thermvar,postheat,VG,VG1,therm_pos
VG17-2,faveolata,thermvar,preheat,VG,VG17,therm_pre
VG6-1,faveolata,control,preheat,VG,VG6,contr_pre
neg-tv,neg,neg,neg,neg,neg,neg_neg
neg-mp,neg,neg,neg,neg,neg,neg_neg